"GeneID"	"N4wkGK1"	"N4wkGK2"	"N4wkGK3"	"N4wkGK4"	"N4wkGK5"	"N8wkGK1"	"N8wkGK2"	"N8wkGK3"	"N8wkGK4"	"N8wkGK5"	"N12wkGK1"	"N12wkGK2"	"N12wkGK3"	"N12wkGK4"	"N12wkGK5"	"N16wkGK1"	"N16wkGK2"	"N16wkGK3"	"N16wkGK4"	"N16wkGK5"	"N20wkGK1"	"N20wkGK2"	"N20wkGK3"	"N20wkGK4"	"N20wkGK5"
170913	75.29575	136.3575	96.813	101.41515	73.8605	34.01155	46.05765	24.58505	34.9904	25.4661	27.6155	26.0532	16.371	27.87655	40.2296	20.86675	20.58205	30.37785	28.94275	24.94825	25.30795	44.1845	19.1796	22.71195	37.65855
29648	668.075	705.852	763.772	761.277	697.798	714.616	654.934	659.549	627.04	709.947	676.292	671.299	687.006	673.169	684.375	748.35	686.197	729.588	713.432	709.09	618.566	662.649	611.6	696.449	602.665
304667	21.5176	4.5121	6.47477	27.5528	18.4558	22.6474	3.26146	26.9092	30.3492	6.8026	36.358	31.3276	16.0637	32.626	16.9357	6.55944	33.0543	31.59	24.7973	38.797	27.1428	27.3635	35.4568	21.0822	33.1918
306840	411.213	431.126	406.669	392.907	389.155	508.749	444.878	463.249	403.702	470.326	485.736	494.642	520.15	499.283	557.109	490.434	550.804	467.899	515.004	518.771	472.351	555.727	537.077	496.264	598.947
60350	1817.48	1931.19	1633.01	1910.43	1699.31	1062.39	1324.77	1423.66	1215.43	1630.21	1462.95	1325.17	1481	1353.94	1589.47	1606.28	1601.85	1301.95	1396.26	1555.08	1717.13	1993.18	1905.48	1751.42	1676.36
282585	2692.33	2506.53	2752.75	2786.14	2817.25	2495.99	2289	2255.9	2220.09	2251.23	2416.84	2801.8	2295.37	2547.21	2527.39	2056.61	2035.09	2087.79	2064.25	2187.88	2443.08	2228.13	2139.37	2578.14	2154.73
64576	4.15379	13.3259	15.3099	12.7295	6.3977	19.8975	5.14865	5.40307	8.54767	16.8278	7.83386	7.45553	17.7735	4.9387	4.24841	3.7437	4.23767	8.45249	7.93108	4.11635	3.67052	15.3564	5.82887	37.1409	31.1686
362506	64.032	88.5562	86.7259	69.6629	59.169	56.7093	70.2207	97.9018	79.3479	93.5671	64.7003	81.2934	62.3201	65.8153	67.8447	73.3908	64.334	124.95	76.4411	47.7259	37.3415	58.7263	97.9342	29.8387	61.8037
314013	325.278	355.122	302.29	307.53	318.377	316.429	354.491	343.689	339.032	335.912	311.204	326.878	358.307	338.566	342.362	309.212	315.584	371.795	327.11	347.607	320.56	308.828	322.953	350.03	310.357
64023	108.837	122.474	122.459	150.699	179.66	132.399	178.704	68.5285	192.666	166.592	88.7424	76.8707	14.2373	63.4145	99.1193	80.9618	77.1287	49.1202	57.4438	55.411	136.561	92.8755	86.2962	209.565	35.5483
315097	85.5604	72.5565	80.1238	73.64766667	87.71086667	78.32396667	86.04496667	97.95076667	89.208	89.7104	100.2621333	83.6679	95.25123333	86.34706667	98.05343333	95.06483333	91.87663333	91.26936667	108.1879667	96.49206667	97.95393333	100.7596333	80.76993333	95.84156667	69.0301
304181	2.36376	2.69486	4.81103	15.449	16.5911	7.67277	20.2801	2.77343	3.21948	4.32223	3.51075	4.42612	6.16234	4.58399	8.49796	4.12644	12.9064	27.2769	1.66677	6.2667	2.9156	4.94219	3.28109	3.75708	8.25318
291840	47.4851	50.7302	53.6056	57.0265	48.5926	55.6696	51.513	46.7245	54.7632	45.5197	55.3963	52.5102	64.3108	44.8286	47.4336	57.8831	60.1297	60.5962	53.8971	38.6802	54.1425	61.8027	46.2934	46.209	45.7314
290556	536.592	423.33	498.106	486.268	387.869	536.062	404.973	433.434	516.683	366.773	391.46	517.84	433.591	561.132	346.037	488.951	410.787	508.387	434.568	435.783	523.142	377.876	643.214	569.036	555.312
304966	169.329	219.149	196.189	208.243	200.794	158.309	129.498	153.186	159.918	171.86	158.716	97.7054	121.973	111.028	141.929	122.925	150.067	172.21	143.03	157.696	131.486	121.608	159.503	135.592	180.944
100359484	50.4482	35.6334	57.5565	55.6217	59.3553	65.1901	63.4046	64.3981	63.3452	69.207	65.861	79.2355	76.66	76.8707	56.1376	71.023	76.9956	76.1063	88.941	75.1437	96.6891	96.7756	40.5981	66.7932	76.6946
114115	3.905153333	6.938236667	1.241029	2.286656	1.516532	4.671981667	5.557178	3.312726667	2.82111	3.101525667	8.047323333	3.21383	3.11587	1.501357	1.837817667	2.121595	5.492713333	3.627103333	4.892086667	4.779087333	2.679499333	2.144959	1.074642	2.834473333	5.588725667
300208	223.45	262.351	264.666	260.752	240.79	255.076	288.163	256.94	257.348	243.749	292.741	305.224	265.232	338.515	238.246	253.964	218.584	273.396	239.517	262.466	314.585	274.065	281.977	246.184	268.306
315423	114.011	120.014	104.897	103.189	98.5913	89.413	78.2167	91.7947	77.5556	90.9354	98.7466	81.992	89.2087	103.143	107.887	99.7596	102.926	111.397	89.3614	107.937	93.3919	93.3492	102.762	80.8282	92.4537
367313	22.3138	41.1804	38.5958	18.2141	59.0597	27.889	36.2436	25.7775	36.3838	41.4244	47.7164	26.8774	34.7314	28.4182	27.2459	13.0993	34.3525	45.3503	15.0192	11.6542	25.7005	27.3769	20.0688	30.4646	36.0477
499586	19.5626	15.3979	27.99	21.931	22.1527	5.39766	21.3958	10.5969	4.27235	24.7692	25.1898	25.31	9.94336	21.7496	7.35427	18.9076	27.6908	26.9891	17.7705	9.65375	24.2186	35.5547	19.6199	29.9114	25.5932
306338	29.11576667	33.5522	29.82254333	27.4826	25.6831	33.48720667	38.8574	29.94232667	32.42382333	31.28	33.55233333	29.5343	33.74245333	43.5599	27.72789667	34.8511	32.47193333	22.40286667	32.42453333	39.45126667	32.0949	31.7137	28.81195667	41.09125333	18.55528333
362657	40.3788	30.5039	9.0555	1.85281	18.2892	11.922	5.73575	5.00095	26.531	28.5811	3.84328	2.47476	4.15692	13.6542	10.7141	12.0351	3.00402	19.0494	2.56302	7.65705	15.5576	7.43475	7.03705	9.24522	22.5755
114596	11.0493	5.48214	5.36552	4.28673	5.63108	15.4632	4.17805	4.73929	4.41902	32.993	5.1578	5.18124	5.51476	5.19909	14.2833	19.8701	7.12474	7.00875	34.1372	18.3532	5.19765	26.4917	7.23342	11.144	28.0447
360746	274.24	358.78	320.646	335.744	315.996	306.592	266.636	320.416	296.112	278.46	218.851	181.718	223.004	205.497	251.475	246.855	231.506	279.232	226.639	239.044	257.866	268.169	188.437	250.244	250.343
