"id"	"X70_D0"	"X71_D0"	"X72_D0"	"X70_D4"	"X71_D4"	"X72_D4"	"X70_D7"	"X71_D7"	"X72_D7"	"X70_D28"	"X71_D28"	"X72_D28"
"ENSMMUG00000000001"	33	36	42	27	27	32	38	51	25	3	21	31
"ENSMMUG00000000002"	0	0	5	2	1	1	0	0	0	0	0	0
"ENSMMUG00000000004"	0	0	3	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000005"	148	143	179	242	190	205	245	369	196	116	219	72
"ENSMMUG00000000006"	0	0	2	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000007"	267	136	104	152	146	80	134	150	39	137	131	44
"ENSMMUG00000000009"	29407	26988	17995	37640	26957	19548	34357	30766	15796	16629	29887	8533
"ENSMMUG00000000010"	196	123	101	182	145	109	187	240	129	190	357	113
"ENSMMUG00000000012"	360	259	305	282	297	469	285	490	287	342	852	133
"ENSMMUG00000000013"	507	980	480	1147	568	364	656	630	506	286	467	263
"ENSMMUG00000000014"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000015"	0	5	0	1	0	0	0	3	0	0	6	0
"ENSMMUG00000000016"	1159	808	674	858	791	971	1084	954	586	528	1069	312
"ENSMMUG00000000017"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000018"	0	1	0	0	0	0	0	1	0	0	0	0
"ENSMMUG00000000019"	7	2	15	3	8	18	3	10	20	6	5	1
"ENSMMUG00000000020"	12	9	18	30	5	32	33	32	32	15	6	7
"ENSMMUG00000000021"	56	50	22	26	27	27	37	27	42	4	50	10
"ENSMMUG00000000022"	0	7	0	0	0	0	0	1	0	0	3	0
"ENSMMUG00000000023"	3	17	2	23	52	13	22	88	9	43	75	16
"ENSMMUG00000000024"	144	103	56	144	136	136	101	98	69	65	172	40
"ENSMMUG00000000025"	4	3	6	0	0	2	1	0	5	0	1	0
"ENSMMUG00000000026"	0	0	1	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000027"	0	1	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000029"	92	226	91	376	169	90	152	158	130	44	143	32
"ENSMMUG00000000030"	163	267	125	406	186	176	224	253	167	66	156	63
"ENSMMUG00000000031"	0	4	0	0	8	0	0	1	0	0	10	2
"ENSMMUG00000000032"	1	7	0	2	8	7	3	22	7	2	18	0
"ENSMMUG00000000033"	84	36	51	59	64	48	65	88	59	52	74	37
"ENSMMUG00000000034"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000036"	0	0	0	0	0	4	0	1	2	1	2	1
"ENSMMUG00000000037"	214	140	101	264	145	185	227	216	106	114	261	46
"ENSMMUG00000000038"	34	47	112	47	34	92	41	48	118	29	74	44
"ENSMMUG00000000039"	69	64	89	73	36	92	78	96	81	33	64	22
"ENSMMUG00000000040"	387	308	324	238	338	451	228	243	253	244	399	253
"ENSMMUG00000000041"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000042"	253	180	141	166	91	120	197	146	123	148	329	134
"ENSMMUG00000000043"	1952	2878	1277	1700	2599	1699	2087	2842	1352	1083	2243	1041
"ENSMMUG00000000044"	21	17	30	27	18	26	16	15	19	3	13	10
"ENSMMUG00000000045"	27	17	37	20	14	32	15	10	16	4	14	8
"ENSMMUG00000000046"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000047"	0	8	0	1	5	6	2	12	0	0	0	6
"ENSMMUG00000000048"	2	1	5	0	2	0	1	5	0	0	3	0
"ENSMMUG00000000049"	330	368	177	280	235	163	193	297	136	168	317	78
"ENSMMUG00000000050"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000051"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000052"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000053"	2	4	0	1	6	10	0	5	2	0	14	0
"ENSMMUG00000000054"	1	1	15	1	1	36	1	4	16	1	9	12
"ENSMMUG00000000055"	170	342	110	138	416	180	101	279	96	173	999	99
