"id"	"X66_D0"	"X68_D0"	"X69_D0"	"X66_D4"	"X68_D4"	"X69_D4"	"X66_D7"	"X68_D7"	"X69_D7"	"X66_D28"	"X68_D28"	"X69_D28"
"ENSMMUG00000000001"	83	25	65	71	79	90	142	100	121	43	49	14
"ENSMMUG00000000002"	2	0	0	2	0	1	0	0	0	0	3	0
"ENSMMUG00000000004"	0	0	0	0	0	1	0	0	0	0	0	0
"ENSMMUG00000000005"	434	258	413	550	535	658	389	240	319	548	497	288
"ENSMMUG00000000006"	0	0	0	1	2	1	2	3	5	0	0	0
"ENSMMUG00000000007"	134	183	286	225	140	204	85	34	44	113	150	70
"ENSMMUG00000000009"	49104	24286	27077	50057	48706	51802	41337	27512	51502	36308	44236	13984
"ENSMMUG00000000010"	249	160	183	266	254	301	338	349	444	447	383	157
"ENSMMUG00000000012"	582	595	693	303	347	284	178	127	98	766	908	592
"ENSMMUG00000000013"	818	604	438	399	515	554	366	148	284	460	496	255
"ENSMMUG00000000014"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000015"	0	0	0	0	0	0	0	2	0	0	0	0
"ENSMMUG00000000016"	1436	933	1194	949	853	748	569	369	660	1371	1408	564
"ENSMMUG00000000017"	0	0	0	0	0	0	0	1	0	0	0	0
"ENSMMUG00000000018"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000019"	24	5	15	5	7	13	6	8	7	16	13	14
"ENSMMUG00000000020"	84	25	35	10	9	6	9	16	13	48	24	12
"ENSMMUG00000000021"	34	68	54	25	41	29	9	6	9	21	77	13
"ENSMMUG00000000022"	8	1	5	3	1	5	1	5	2	0	1	1
"ENSMMUG00000000023"	16	21	16	107	229	228	331	326	674	52	79	41
"ENSMMUG00000000024"	309	125	96	167	204	174	304	194	603	152	220	44
"ENSMMUG00000000025"	3	2	0	5	1	1	3	2	2	1	0	0
"ENSMMUG00000000026"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000027"	1	0	0	0	0	2	0	1	0	0	0	0
"ENSMMUG00000000029"	286	139	120	271	322	362	269	155	238	151	178	112
"ENSMMUG00000000030"	430	256	143	548	219	356	253	99	241	241	193	164
"ENSMMUG00000000031"	11	2	0	1	0	1	3	1	0	6	5	0
