"GeneID"	"N4wkWT1"	"N4wkWT2"	"N4wkWT3"	"N4wkWT4"	"N4wkWT5"	"N8wkWT1"	"N8wkWT2"	"N8wkWT3"	"N8wkWT4"	"N8wkWT5"	"N12wkWT1"	"N12wkWT2"	"N12wkWT3"	"N12wkWT4"	"N12wkWT5"	"N16wkWT1"	"N16wkWT2"	"N16wkWT3"	"N16wkWT4"	"N16wkWT5"	"N20wkWT1"	"N20wkWT2"	"N20wkWT3"	"N20wkWT4"	"N20wkWT5"
170913	151.26	97.09075	188.732	167.688	186.9965	35.63325	31.6509	39.79715	47.59385	19.61789	44.5739	13.8811	21.0959	29.63565	38.29435	33.11505	36.259	35.27665	45.33695	32.7766	31.34925	57.82145	35.5718	47.47465	45.84865
29648	792.09	675.018	731.884	666.625	700.503	588.165	641.062	632.621	636.953	605.447	646.123	693.219	721.308	723.33	744.12	571.377	686.468	655.744	733.034	668.782	675.86	745.268	576.759	759.817	706.469
304667	22.4372	39.0071	21.153	25.6721	35.9138	6.56476	48.0731	14.9515	21.8944	47.1009	21.2941	25.6338	18.9094	18.4924	25.4181	21.8813	27.0048	29.1723	3.78501	19.6575	21.4993	6.15925	11.4455	44.717	17.6816
306840	353.377	324.438	343.224	301.513	335.228	303.978	282.125	295.349	277.012	308.749	389.749	411.327	392.012	396.254	312.082	387.927	461.695	491.911	323.292	342.652	295.667	327.982	381.897	385.414	352.059
60350	853.077	1279.84	739.044	665.062	778.064	593.781	508.569	650.13	448.832	293.734	417.236	419.328	561.915	432.936	701.945	473.035	453.584	424.205	540.637	476.364	406.57	788.854	524.799	914.229	609.533
282585	2912.25	2579.46	2374.01	2340.41	2302.13	2042.5	1891.21	2057.3	2774.92	2754.73	2053.91	2325.73	2686	2018.08	1753.58	1940.82	2308.91	2110.86	1774.44	2167.95	1877.54	2359.34	1934.45	2181.94	2668.9
64576	16.2666	5.48901	23.3918	14.1235	7.8604	7.92051	3.71081	25.8826	11.9456	17.3246	24.0558	26.0652	9.2528	19.232	17.9277	8.34708	6.20773	4.15914	4.05748	11.2418	9.40384	11.4404	7.35533	3.94639	36.6026
362506	63.4191	74.434	55.0354	81.0307	56.4586	48.5184	49.4247	58.9326	86.515	75.0166	13.7911	76.2053	62.9295	73.9138	58.897	53.9444	45.1338	80.6261	60.1586	34.5632	54.3032	80.5794	58.4761	17.2006	88.9303
314013	346.249	375.809	323.221	336.713	316.743	392.382	351.924	387.9	351.707	331.605	387.403	417.773	355.961	324.219	334.304	376.024	412.683	360.533	409.591	432.499	355.127	349.667	385.289	409.296	417.71
64023	215.688	206.292	195.833	182.975	115.598	268.336	223.902	70.1249	169.459	98.474	40.2008	10.5133	115.348	102.629	55.0939	46.6385	46.5327	42.4223	82.4832	111.607	139.13	217.784	184.749	96.9294	157.284
315097	100.1418333	89.5968	96.65496667	97.63823333	110.4675667	82.43756667	94.10523333	73.5159	83.77076667	65.97273333	81.446	84.22773333	107.5433	91.24296667	93.61633333	59.35746667	92.85583333	76.06406667	84.45703333	85.85296667	97.14053333	91.33746667	93.43933333	94.20116667	79.05933333
304181	15.4794	26.3809	9.64012	2.83973	13.5535	3.50438	2.76148	1.59752	2.98928	20.5118	3.48181	2.82979	2.02999	2.53342	3.738	2.97446	2.89983	4.87714	7.88445	6.53958	8.03327	3.58451	5.12916	10.9599	7.44778
291840	73.4349	95.4492	91.2844	73.0488	74.2193	84.9995	81.139	57.8258	81.3213	76.9217	65.843	58.2294	72.0585	61.8195	69.908	70.5681	77.9486	66.442	68.7628	53.881	54.49	61.8486	84.1394	60.2315	52.4224
290556	470.527	664.91	656.223	734.325	520.754	448.434	570.565	415.717	463.532	492.422	327.298	312.639	394.844	319.964	319.746	459.313	257.64	374.23	338.052	378.404	465.999	352.99	368.773	294.777	320.508
304966	152.117	77.2174	145.947	159.15	99.6582	142.248	132.12	126.786	124.38	147.019	199.246	141.445	152.572	109.767	166.779	114.001	108.537	98.8847	113.26	129.05	111.799	74.856	119.72	147.538	99.6353
100359484	74.9331	76.7309	71.976	91.0077	62.8692	73.462	75.9716	103.133	94.3074	96.0455	81.7889	103.004	68.5688	79.4909	90.5725	76.8341	69.6514	103.254	85.5833	106.107	93.0489	50.3939	75.142	85.6981	95.5545
114115	3.118712333	1.889919667	4.404453333	5.28696	5.888974333	4.328573667	1.153631667	1.90413	3.63501	2.48882	3.465616667	3.269234667	1.731121	0.889262667	3.191236667	3.78028	2.132712333	3.845083333	3.30294	5.24535	2.179089667	2.001955667	1.632206667	1.810284	5.346986667
300208	250.067	256.849	276.102	248.785	258.716	243.368	274.562	257.782	325.809	241.478	296.898	273.56	262.298	276.788	265.539	234.122	232.517	224.224	288.009	316.715	242.03	237.257	279.832	279.412	207.716
315423	105.339	96.3838	122.074	139.17	131.696	103.011	70.6577	106.745	99.9025	114.536	98.6421	104.806	95.7854	81.9697	107.009	116.66	87.8164	94.0554	101.552	101.452	93.2068	113.232	94.5821	107.948	104.892
367313	27.8963	57.2117	50.1685	51.0112	59.3956	45.6458	39.2991	22.0614	40.841	50.1707	17.2703	29.9995	29.8477	32.8294	23.9693	26.7895	23.7171	50.6685	32.4741	33.9341	32.8593	27.0842	32.392	21.0094	36.3562
499586	20.7685	24.4773	22.636	39.2972	46.6042	20.8335	18.1843	25.3	15.1453	11.1897	19.9999	15.6093	15.1515	15.315	41.3274	16.6579	28.3656	36.5658	20.8763	10.6227	11.6954	9.13402	26.3761	25.6448	30.0972
306338	36.82616667	46.29105	33.14821667	38.7532	33.3081	41.42855667	33.62946667	41.12426667	33.40479667	20.49822333	22.63009	28.56933333	36.54876667	26.60143333	33.19486667	30.22235	22.59683667	34.99266667	35.16083333	28.05583	40.662	32.65693333	32.76404	38.6477	39.95126667
362657	15.4991	15.8545	8.94886	9.06102	32.2327	25.3215	3.55796	9.23235	3.5297	10.1867	3.37193	2.63914	4.41027	6.97836	13.188	6.07115	3.15003	12.5139	15.2735	2.39847	11.5154	4.09691	25.6407	4.92503	17.6426
114596	11.7622	26.8672	4.70615	5.09429	5.64206	4.83404	9.55656	8.52794	34.0624	22.5802	5.50476	2.72316	14.4731	5.54497	6.46095	20.8864	3.0141	5.9007	10.2885	4.75751	31.2337	14.3834	7.77841	10.8022	23.4169
360746	295.207	266.559	307.353	254.194	318.553	259.692	316.071	257.481	249.401	224.543	206.692	247.979	260.124	230.058	242.554	164.564	256.99	225.39	228.754	253.317	260.415	252.054	273.084	281.972	210.055
305311	18.3961	17.3747	14.384	18.4015	22.1072	11.3551	15.5006	25.6433	34.267	21.7357	36.8945	12.5804	14.9375	4.50245	32.5565	28.1657	18.3116	21.8166	17.1196	20.4767	22.7745	3.44676	4.22848	37.0457	35.8198
305835	83.91059	87.30826	102.318095	104.1543	91.86865	68.995915	70.97664	75.18485	96.676895	79.259855	94.486545	38.715935	70.606255	85.97567	84.3086	79.47225	68.02824	56.981165	66.769915	56.56431	82.730925	83.52642	87.46428	74.70737	105.54139
24783	41.2422	13.0649	48.908	34.1679	59.8317	34.3323	27.0146	42.9276	26.6284	46.0578	58.7323	58.6047	33.7255	44.04	59.796	41.2101	30.0325	65.7311	11.6126	44.162	26.9039	22.1071	40.6856	53.7377	40.4219
310982	30.3559	30.4474	25.4735	35.4997	36.6592	33.8812	27.5422	47.0956	54.1777	46.4805	39.15	35.5184	34.3733	35.7587	24.4422	61.8563	37.2922	26.5398	17.3618	27.709	30.2741	26.2726	32.4938	19.3983	30.0054
303637	151.4334	192.0375	230.70785	285.9831	254.9364	147.81395	36.670885	117.030365	120.65475	107.1169	49.09402	111.09445	192.15915	53.65815	100.83753	133.4045	103.59672	154.507945	149.9607	49.6641	139.3292	224.8772	99.70685	48.88839	104.139551
50689	175.988	213.338	169.63	210.321	170.791	156.316	146.635	227.166	174.569	151.664	163.912	165.293	176.212	171.695	210.338	184.43	171.644	143.86	212.253	223.498	203.873	196.057	187.4	176.445	139.8
29393	420.66	598.725	811.745	762.038	421.372	247.016	275.011	125.626	232.467	315.333	131.794	91.7178	132.187	165.08	127.636	125.618	117.088	85.1114	142.811	74.1019	58.7184	76.6578	82.2846	91.2016	120.374
171087	3644.98	3882.57	3120.53	3370	3656.28	3498.63	3574.22	3012.85	3303.86	3047.88	3195.7	2859.55	3252.09	3297.43	3320.34	3113.6	3052.03	2796.7	3267.39	3261.4	3683.55	3737.45	3396.13	3538.06	3616.74
362883	143.6932	149.45705	124.76875	141.6982	124.89365	177.759	158.1752	124.99775	142.328	117.33315	93.79775	110.1755	120.21805	140.0155	127.34825	144.58655	146.1846	130.41315	146.8088	135.47115	125.51825	173.78405	138.25825	139.03005	121.6639
246238	21.9462	3.15367	14.0328	12.2624	11.1293	10.4006	3.23322	21.9679	26.61	32.546	17.3401	22.6827	5.7578	11.0733	25.1833	18.9001	8.4447	23.9994	34.752	8.91188	12.933	4.30907	14.0819	36.0374	40.9624
24616	7443.92	6638.35	6392.89	6626.35	6855.79	6852.55	7521.27	7683.42	6368.73	6569.39	7008.72	5906.44	7022.05	6170.26	7071.1	7279.16	6846.16	6667.31	6649	6526.26	7324.6	7244.5	6637.67	7795.81	8540.17
100363253	276.418	180.131	170.697	208.419	175.451	232.032	196.654	164.803	257.922	176.561	113.546	130.358	125.607	131.16	167.181	103.619	141.614	124.795	106.491	133.455	158.896	147.904	148.022	147.68	118.136
79224	6063.41	6087.19	5469.23	5853.5	5478.57	5416.71	5784.76	5857.19	5213.73	5276.83	4706.76	4558.91	5094.84	4619.06	4656.1	5112.1	5184.66	5768.29	4887.85	5128.69	5021.56	5309.76	5200.1	5895.59	6025.54
50659	2.00778	17.4301	20.6084	21.3303	2.35797	4.44874	2.84228	30.3004	19.8133	11.0996	18.445	4.23078	4.26107	5.13929	14.8487	14.7634	3.80933	3.67633	3.84584	14.1427	8.85086	11.9947	17.6359	4.39897	4.34425
361321	171.096	181.7223333	181.1893333	194.3746667	181.2892	233.435	196.7676667	193.0376667	189.243	243.1526667	214.8756667	189.7713333	190.0450333	174.7791667	193.314	217.8595333	183.6206333	194.3944	152.0272	184.6704333	231.9723333	239.5823333	225.208	180.1960333	227.163
366532	13.8548	75.1625	91.2735	92.4449	104.682	63.8431	67.3537	33.8035	45.7537	39.6029	83.9598	55.8315	64.1943	44.1502	43.2522	27.6862	65.5072	55.6177	56.2078	22.6354	85.4734	72.4379	40.9402	36.8989	75.0563
308069	26.526	35.6206	51.853	14.8307	40.9738	56.1904	44.7171	35.311	63.8883	58.2417	23.5992	34.6012	6.85159	20.3166	8.90655	19.4962	32.4641	43.6023	7.614	9.30697	32.4445	54.4944	28.0121	1.78162	27.8613
679629	68.181	53.8356	49.2305	53.2914	52.2307	32.8129	46.1081	22.8272	37.8527	37.5852	53.3489	19.2301	24.0001	10.359	34.85	8.07133	54.4341	25.8798	28.3127	42.2011	11.1753	22.6478	3.45732	10.8328	21.5148
362599	567.374	503.165	572.265	521.13	472.359	466.816	510.497	492.566	548.97	598.591	527.952	484.779	466.725	464.399	483.26	480.861	504.004	478.244	458.934	521.016	552.398	587.851	527.546	490.451	513.76
311193	121.4271667	136.2897667	145.9932	148.9282333	130.2107667	122.1850333	120.0791333	96.78383333	103.3312	109.5686333	82.76103333	95.896	84.65133333	99.8308	90.44543333	69.16131333	72.92574	95.40233333	74.1495	86.8731	89.50916667	103.0718667	118.1444333	85.04489667	85.37563333
680875	74.5985	131.873	101.865	104.374	163.982	156.859	132.86	169.888	167.132	112.087	178.908	120.317	171.507	137.685	137.353	127.793	166.877	157.379	165.864	157.151	189.462	247.257	202.896	282.435	282.622
